pitcher_id,event
452657,Groundout
452657,Double
452657,Single
452657,Strikeout
452657,Strikeout
425794,Double
425794,Groundout
425794,Strikeout
425794,Groundout
452657,Strikeout
452657,Walk
452657,Single
452657,Strikeout
452657,Single
452657,Runner Out
425794,Double
425794,Strikeout
425794,Flyout
425794,Strikeout
452657,Double
452657,Groundout
452657,Strikeout
452657,Groundout
425794,Single
425794,Flyout
425794,Strikeout
425794,Strikeout
452657,Walk
452657,Forceout
452657,Strikeout
452657,Groundout
425794,Groundout
425794,Groundout
425794,Groundout
452657,Single
452657,Single
452657,Single
452657,Pop Out
457435,Strikeout
457435,Intent Walk
457435,Strikeout
425794,Double
425794,Lineout
425794,Flyout
425794,Strikeout
435400,Flyout
435400,Pop Out
435400,Groundout
425794,Lineout
425794,Groundout
425794,Single
425794,Flyout
519166,Groundout
519166,Strikeout
519166,Single
519166,Pop Out
593372,Groundout
593372,Walk
593372,Strikeout
593372,Groundout
467008,Strikeout
467008,Groundout
467008,Double
467008,Strikeout
477229,Strikeout
477229,Groundout
477229,Walk
477229,Strikeout
444468,Flyout
444468,Lineout
444468,Walk
444468,Flyout
572096,Strikeout
572096,Strikeout
572096,Strikeout
433587,Strikeout
433587,Home Run
433587,Strikeout
433587,Strikeout
450308,Groundout
450308,Double
450308,Groundout
450308,Pop Out
433587,Strikeout
433587,Groundout
433587,Pop Out
450308,Groundout
450308,Pop Out
450308,Flyout
433587,Pop Out
433587,Groundout
433587,Lineout
450308,Pop Out
450308,Lineout
450308,Double
450308,Triple
450308,Single
450308,Forceout
433587,Strikeout
433587,Walk
433587,Forceout
433587,Strikeout
450308,Flyout
450308,Lineout
450308,Strikeout
433587,Single
433587,Hit By Pitch
433587,Strikeout
433587,Grounded Into DP
450308,Home Run
450308,Single
450308,Flyout
450308,Double
450308,Lineout
450308,Flyout
433587,Flyout
433587,Strikeout
433587,Groundout
450308,Flyout
450308,Single
450308,Grounded Into DP
433587,Strikeout
433587,Groundout
433587,Strikeout
459987,Strikeout
459987,Single
459987,Single
459987,Walk
459987,Strikeout
543144,Flyout
543144,Single
543144,Single
518703,Strikeout
605476,Strikeout
477569,Groundout
477569,Groundout
477569,Flyout
407845,Walk
407845,Forceout
407845,Grounded Into DP
506693,Groundout
506693,Single
506693,Single
506693,Groundout
506693,Groundout
527054,Lineout
527054,Groundout
527054,Strikeout
506693,Lineout
506693,Flyout
506693,Groundout
527054,Strikeout
527054,Groundout
527054,Groundout
506693,Groundout
506693,Groundout
506693,Groundout
527054,Strikeout
527054,Groundout
527054,Double
527054,Single
527054,Runner Out
506693,Groundout
506693,Single
506693,Groundout
506693,Groundout
527054,Groundout
527054,Single
527054,Lineout
527054,Single
506693,Flyout
506693,Groundout
506693,Groundout
527054,Single
527054,Strikeout
527054,Grounded Into DP
506693,Double
506693,Sac Bunt
506693,Fielders Choice
506693,Strikeout
506693,Groundout
527054,Pop Out
527054,Flyout
527054,Walk
527054,Pop Out
506693,Lineout
506693,Single
506693,Flyout
506693,Single
506693,Strikeout
527054,Single
527054,Single
527054,Single
501593,Grounded Into DP
462382,Pop Out
445197,Strikeout
445197,Strikeout
445197,Strikeout
462382,Groundout
462382,Bunt Groundout
462382,Strikeout
573109,Strikeout
573109,Strikeout
573109,Walk
573109,Forceout
276351,Strikeout
276351,Strikeout
276351,Lineout
502042,Field Error
502042,Walk
502042,Flyout
502042,Strikeout
502042,Single
502042,Strikeout
501957,Walk
501957,Strikeout
501957,Flyout
502042,Groundout
502042,Single
502042,Flyout
502042,Strikeout
501957,Strikeout
501957,Flyout
501957,Walk
501957,Flyout
502042,Groundout
502042,Groundout
502042,Groundout
501957,Pop Out
501957,Flyout
501957,Pop Out
502042,Single
502042,Flyout
502042,Strikeout
501957,Single
501957,Strikeout
501957,Strikeout
502042,Groundout
502042,Double
502042,Home Run
502042,Flyout
502042,Groundout
501957,Walk
501957,Pop Out
501957,Groundout
501957,Single
502042,Home Run
502042,Groundout
502042,Strikeout
544993,Strikeout
501957,Lineout
501957,Single
501957,Grounded Into DP
544993,Strikeout
544993,Strikeout
544993,Strikeout
501957,Pop Out
501957,Home Run
501957,Pop Out
503285,Single
503285,Groundout
457117,Strikeout
457117,Hit By Pitch
457117,Walk
542924,Double
346797,Flyout
542960,Strikeout
542960,Double
542960,Single
488984,Strikeout
488984,Double
488984,Pop Out
489446,Home Run
489446,Groundout
489446,Pop Out
489446,Strikeout
502154,Strikeout
502154,Groundout
502154,Strikeout
502154,Groundout
430935,Pop Out
430935,Home Run
430935,Strikeout
430935,Lineout
453329,Flyout
453329,Flyout
453329,Field Error
453329,Groundout
430935,Groundout
430935,Walk
430935,Pop Out
430935,Walk
430935,Groundout
453329,Strikeout
453329,Groundout
453329,Strikeout
430935,Home Run
430935,Groundout
430935,Pop Out
430935,Walk
430935,Strikeout
453329,Bunt Groundout
453329,Strikeout
453329,Lineout
430935,Strikeout
430935,Flyout
430935,Single
430935,Groundout
453329,Strikeout
453329,Strikeout
453329,Double
453329,Walk
453329,Forceout
430935,Strikeout
430935,Home Run
430935,Strikeout
430935,Home Run
430935,Strikeout
453329,Strikeout
453329,Groundout
453329,Flyout
472610,Walk
472610,Lineout
472610,Groundout
472610,Groundout
453329,Lineout
453329,Strikeout
453329,Strikeout
491646,Single
491646,Single
491646,Strikeout
491646,Grounded Into DP
453329,Groundout
453329,Single
453329,Single
453329,Forceout
453329,Strikeout
518603,Groundout
518603,Groundout
518603,Walk
518603,Groundout
547749,Groundout
547749,Flyout
547749,Lineout
518617,Single
518617,Walk
518617,Strikeout
518617,Walk
518617,Home Run
462945,Strikeout
462945,Lineout
518927,Groundout
518927,Lineout
518927,Walk
518927,Groundout
570649,Groundout
570649,Single
570649,Grounded Into DP
502188,Flyout
502188,Strikeout
502188,Pop Out
570649,Flyout
570649,Hit By Pitch
570649,Lineout
570649,Double
570649,Strikeout
502188,Groundout
502188,Walk
502188,Hit By Pitch
502188,Forceout
502188,Double
502188,Flyout
570649,Flyout
570649,Flyout
570649,Groundout
502188,Double
502188,Sac Bunt
502188,Single
502188,Groundout
502188,Walk
502188,Flyout
570649,Flyout
570649,Strikeout
570649,Groundout
502188,Single
502188,Double Play
502188,Flyout
570649,Lineout
570649,Walk
570649,Grounded Into DP
502188,Flyout
502188,Home Run
502188,Hit By Pitch
502188,Groundout
502188,Flyout
570649,Single
570649,Groundout
570649,Groundout
502188,Groundout
502188,Single
502188,Flyout
502188,Lineout
570649,Home Run
516969,Strikeout
516969,Groundout
516969,Flyout
502188,Walk
543359,Walk
543359,Groundout
543359,Strikeout
543359,Intent Walk
543359,Single
475138,Home Run
475138,Single
475138,Flyout
451584,Groundout
451584,Groundout
451584,Groundout
475138,Single
475138,Single
475138,Grounded Into DP
475138,Single
475138,Double
475138,Strikeout
425492,Single
425492,Grounded Into DP
425492,Walk
425492,Pop Out
572971,Groundout
572971,Flyout
572971,Groundout
446372,Groundout
446372,Flyout
446372,Groundout
572971,Strikeout
572971,Strikeout
572971,Strikeout
446372,Flyout
446372,Flyout
446372,Strikeout
572971,Groundout
572971,Single
572971,Groundout
572971,Groundout
446372,Groundout
446372,Walk
446372,Groundout
446372,Strikeout
572971,Groundout
572971,Groundout
572971,Walk
572971,Lineout
446372,Strikeout
446372,Strikeout
446372,Lineout
572971,Walk
572971,Grounded Into DP
572971,Walk
572971,Groundout
446372,Flyout
446372,Strikeout
446372,Groundout
572971,Groundout
572971,Groundout
572971,Lineout
446372,Strikeout
446372,Strikeout
446372,Single
446372,Single
572971,Single
572971,Single
572971,Strikeout
572971,Groundout
572971,Groundout
446372,Flyout
446372,Groundout
446372,Lineout
448609,Strikeout
448609,Strikeout
448609,Lineout
446372,Lineout
446372,Walk
446372,Single
425786,Sac Fly
425786,Forceout
502381,Groundout
502381,Groundout
502381,Strikeout
346798,Flyout
346798,Double
346798,Double
346798,Pop Out
346798,Double
346798,Home Run
346798,Lineout
452718,Strikeout
452718,Groundout
452718,Strikeout
346798,Single
346798,Sac Bunt
346798,Field Error
346798,Double Play
452718,Single
452718,Single
452718,Strikeout
452718,Hit By Pitch
452718,Grounded Into DP
346798,Double
346798,Lineout
346798,Home Run
346798,Lineout
346798,Single
346798,Forceout
452718,Single
452718,Strikeout
452718,Grounded Into DP
346798,Double
346798,Strikeout
346798,Single
518468,Single
518468,Lineout
518468,Single
518468,Double
518468,Groundout
452718,Pop Out
452718,Single
452718,Lineout
452718,Single
452718,Strikeout
518468,Single
518468,Forceout
518468,Single
518468,Groundout
518468,Lineout
452718,Strikeout
452718,Pop Out
452718,Lineout
425840,Groundout
425840,Groundout
425840,Groundout
452718,Lineout
452718,Lineout
452718,Groundout
425840,Strikeout
425840,Strikeout
425840,Single
425840,Strikeout
452718,Single
452718,Forceout
452718,Flyout
452718,Single
452718,Pop Out
519293,Strikeout
519293,Strikeout
519293,Lineout
429783,Pop Out
429783,Strikeout
429783,Strikeout
502026,Walk
502026,Forceout
502026,Field Error
502026,Grounded Into DP
543184,Groundout
543184,Single
543184,Lineout
543184,Strikeout
456034,Lineout
456034,Pop Out
456034,Groundout
461833,Groundout
461833,Single
461833,Flyout
461833,Lineout
456034,Strikeout
456034,Groundout
456034,Lineout
461833,Home Run
461833,Double
461833,Strikeout
461833,Home Run
461833,Single
461833,Fielders Choice Out
461833,Strikeout
456034,Groundout
456034,Flyout
456034,Flyout
461833,Pop Out
461833,Lineout
461833,Strikeout
456034,Lineout
456034,Pop Out
456034,Strikeout
461833,Flyout
461833,Walk
461833,Single
461833,Forceout
461833,Strikeout
456034,Flyout
456034,Single
456034,Flyout
456034,Strikeout
461833,Single
461833,Grounded Into DP
461833,Strikeout
456034,Single
456034,Single
456034,Strikeout
456034,Grounded Into DP
461833,Flyout
461833,Triple
461833,Sac Fly
461833,Strikeout
456034,Groundout
456034,Groundout
456034,Groundout
543242,Single
543242,Walk
543242,Grounded Into DP
543242,Pop Out
456034,Flyout
456034,Strikeout
456034,Flyout
543242,Single
543242,Flyout
543242,Flyout
543242,Lineout
456034,Groundout
456034,Flyout
456034,Single
456034,Single
150274,Strikeout
453286,Walk
453286,Pop Out
453286,Strikeout
453286,Groundout
112526,Single
112526,Field Error
112526,Strikeout
112526,Strikeout
112526,Groundout
453286,Flyout
453286,Strikeout
453286,Groundout
112526,Groundout
112526,Pop Out
112526,Flyout
453286,Strikeout
453286,Lineout
453286,Groundout
112526,Strikeout
112526,Flyout
112526,Groundout
453286,Groundout
453286,Pop Out
453286,Groundout
112526,Home Run
112526,Strikeout
112526,Groundout
112526,Groundout
453286,Flyout
453286,Strikeout
453286,Strikeout
112526,Strikeout
112526,Strikeout
112526,Strikeout
453286,Flyout
453286,Strikeout
453286,Walk
453286,Field Error
453286,Single
453286,Strikeout
112526,Groundout
112526,Lineout
112526,Single
112526,Walk
112526,Strikeout
453286,Flyout
453286,Field Error
453286,Triple
453286,Pop Out
453286,Strikeout
448614,Groundout
448614,Groundout
448614,Groundout
453286,Flyout
453286,Flyout
453286,Single
453286,Single
458584,Groundout
544727,Strikeout
544727,Strikeout
544727,Groundout
502578,Groundout
502578,Single
502578,Strikeout
502578,Walk
407819,Groundout
460283,Lineout
234194,Groundout
234194,Groundout
456501,Lineout
456501,Single
456501,Groundout
456501,Strikeout
434538,Bunt Groundout
434538,Groundout
434538,Groundout
456501,Strikeout
456501,Groundout
456501,Groundout
434538,Walk
434538,Strikeout
434538,Walk
434538,Flyout
434538,Strikeout
456501,Strikeout
456501,Strikeout
456501,Double
456501,Strikeout
434538,Walk
434538,Forceout
434538,Single
434538,Strikeout
434538,Pop Out
456501,Flyout
456501,Strikeout
456501,Lineout
434538,Strikeout
434538,Home Run
434538,Lineout
434538,Flyout
456501,Groundout
456501,Walk
456501,Lineout
456501,Groundout
434538,Strikeout
434538,Lineout
434538,Groundout
456501,Strikeout
456501,Strikeout
456501,Single
456501,Pop Out
434538,Groundout
434538,Strikeout
434538,Strikeout
456501,Strikeout
456501,Strikeout
456501,Single
456501,Groundout
434538,Groundout
434538,Pop Out
434538,Groundout
276514,Flyout
276514,Single
276514,Lineout
276514,Home Run
448159,Single
471822,Strikeout
453265,Strikeout
453265,Single
453265,Single
453265,Home Run
453265,Groundout
453265,Groundout
547973,Strikeout
547973,Strikeout
547973,Flyout
477132,Hit By Pitch
477132,Strikeout
477132,Single
477132,Strikeout
477132,Forceout
448306,Single
448306,Strikeout
448306,Lineout
448306,Groundout
477132,Groundout
477132,Lineout
477132,Strikeout
448306,Pop Out
448306,Groundout
448306,Strikeout
477132,Strikeout
477132,Flyout
477132,Double
477132,Groundout
448306,Strikeout
448306,Groundout
448306,Walk
448306,Groundout
477132,Strikeout
